"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.08_em","2000.08_sb","2001.06_NA","2001.06_em","2001.06_sb","2002.07_em","2002.07_sb","2003.10_NA","2003.10_em","2003.10_sb","2004.09_NA","2004.09_em","2004.09_sb","2005.08_NA","2005.08_em","2005.08_sb","2006.09_NA","2006.09_em","2006.09_sb","2007.09_NA","2007.09_em","2007.09_sb","2008.07_em","2008.07_sb","2009.08_em","2009.08_sb","2010.08_em","2010.08_sb","2011.06_em","2011.06_sb","2013.03_NA","2013.03_em","2013.03_sb","2014.06_em","2014.06_sb","2015.08_em","2015.08_sb","2016.06_NA","2016.06_em","2016.06_sb","2017.06_NA","2017.06_em","2017.06_sb","2018.03_em","2018.03_sb","2019.03_em","2019.03_sb","2020.08_em","2020.08_sb","2021.05_em","2021.05_sb","2022.09_em","2022.09_sb","2023.02_em","2023.02_sb"
"59",59,970.637680204,6.39,"flat site","Hammam Seghir","3",NA,99,1,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"60",60,314.159265359,0.78,"tell","QNR_9","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,38,62,0,100,0,100,0,0,100,0,0,100,0,100,0,84,16,100,0,100,0,100,0,100,0
"61",61,501.325198118,1.62,"-","ReS_4","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"62",62,547.552013208,1.56,"flat site","ReS_5","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"63",63,353.814183218,0.79,"low mound","ReS_6","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"64",64,140.672051134,0.15,"mound","ReS_7","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"65",65,478.060108118,1.07,"low mound","ReS_8","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"66",66,521.872670819,1.73,"-","ReS_10","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"67",67,916.365455804,5.74,"-","ReS_11","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"68",68,1241.68104604,7.86,"tell","Tell Mresh","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"69",69,432.122823561,1.37,"-","ReS_12","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"70",70,484.918394053,1.31,"-","ReS_14","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"71",71,492.101072467,1.6,"-","ReS_13","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"72",72,308.62762135,0.67,"-","ReS_15","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"73",73,299.786286056,0.62,"-","ReS_9","3",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"74",74,980.513680416,5.49,"rock-cut necropole","Jebel Hammam","3",NA,86,14,0,83,17,92,8,0,88,12,0,86,14,0,86,14,0,88,12,0,93,7,88,12,90,10,88,12,90,10,0,88,12,92,8,90,10,0,92,8,0,98,2,86,14,77,23,92,8,99,1,100,0,91,9
"75",75,0,3.98,"tell","Tell Khamis","3",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"76",76,0,22.5,"tell","Tell Halula","3",NA,99,1,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"77",77,0,0.78,"-","Ausheriye West","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
